Dataset,Method,Mean_Accuracy,Best_Accuracy,Std_Dev,Mean_Features,Mean_Time(s)
Phishing,Standard_PSO,0.9362731795567616,0.9390321121664404,0.001833508377922293,15.639999999999997,1009.7374147176743
Phishing,Chaotic_PSO,0.9374400723654454,0.9393939393939392,0.0015814168015558527,16.34,2282.55960521698
Spambase,Standard_PSO,0.9117796582164942,0.9217561251947316,0.0049923385892128355,26.820000000000004,126.19003767967224
Spambase,Chaotic_PSO,0.9104991502620026,0.914584808572912,0.0037054170387843823,26.4,122.1488149881363
